iter	MultiClass
0	2.236022026
1	2.184413082
2	2.137088652
3	2.093766096
4	2.047613249
5	2.008852114
6	1.974770916
7	1.94594715
8	1.91362007
9	1.884425825
10	1.857532111
11	1.831350746
12	1.80727533
13	1.781925243
14	1.761829467
15	1.741109871
16	1.717808782
17	1.701164753
18	1.680144844
19	1.659714132
20	1.640979254
21	1.624135105
22	1.608393703
23	1.59475785
24	1.580438771
25	1.564346895
26	1.548935872
27	1.533226208
28	1.519568357
29	1.506575277
30	1.493877994
31	1.481285834
32	1.46920571
33	1.457843817
34	1.446643667
35	1.436784695
36	1.428109039
37	1.417374298
38	1.407879519
39	1.400215294
40	1.389504539
41	1.380500824
42	1.371034593
43	1.361866348
44	1.351883707
45	1.342385098
46	1.334851678
47	1.326509721
48	1.318297933
49	1.309172371
50	1.301114933
51	1.293953375
52	1.286254822
53	1.279565805
54	1.272736334
55	1.267388192
56	1.259949375
57	1.252498866
58	1.246934881
59	1.240410241
60	1.234555602
61	1.228658797
62	1.223538437
63	1.216865727
64	1.210779128
65	1.204293532
66	1.198360684
67	1.192885067
68	1.187503958
69	1.182161297
70	1.177177744
71	1.171998003
72	1.169427417
73	1.164355698
74	1.158695126
75	1.154356729
76	1.149607848
77	1.14608106
78	1.140120404
79	1.136611522
80	1.132022
81	1.126732993
82	1.121797591
83	1.11981098
84	1.117343114
85	1.11299372
86	1.109480608
87	1.106688361
88	1.102322325
89	1.097487586
90	1.094217355
91	1.090644481
92	1.086526731
93	1.082891312
94	1.078516177
95	1.077453753
96	1.074139193
97	1.071783564
98	1.068122041
99	1.064495634
100	1.060933922
101	1.056251966
102	1.053050363
103	1.049812391
104	1.045942186
105	1.042663327
106	1.038347821
107	1.033796821
108	1.030477642
109	1.027238917
110	1.024803166
111	1.02124375
112	1.017757781
113	1.01417962
114	1.01002858
115	1.006693206
116	1.003376724
117	0.9991471426
118	0.9962710989
119	0.99306244
120	0.9888997398
121	0.9861132497
122	0.982990631
123	0.9801487923
124	0.975951648
125	0.9727259477
126	0.9695031263
127	0.9659995323
128	0.9615957993
129	0.9579842822
130	0.9560758983
131	0.953733363
132	0.95118336
133	0.9482459911
134	0.9455120256
135	0.9429655938
136	0.9402558073
137	0.9371066318
138	0.9354154685
139	0.9343591537
140	0.9312814739
141	0.9292261709
142	0.9258473677
143	0.9233314644
144	0.9196359646
145	0.9168911416
146	0.9136813506
147	0.9104267589
148	0.9082628769
149	0.904187513
150	0.9014814503
151	0.8986160487
152	0.895456336
153	0.8923319624
154	0.8891502792
155	0.8864116134
156	0.8831115091
157	0.8803159256
158	0.8781047824
159	0.8751515493
160	0.8721239323
161	0.869043703
162	0.8660761436
163	0.8641112122
164	0.8618739479
165	0.8595929486
166	0.8569261849
167	0.8551007757
168	0.8528927042
169	0.8502502929
170	0.8473193825
171	0.8435067262
172	0.8402341341
173	0.8373365677
174	0.8348026194
175	0.8323151455
176	0.8295285966
177	0.8268655865
178	0.8242731016
179	0.8216404411
180	0.8187965996
181	0.8154365491
182	0.8132377991
183	0.8099750604
184	0.8075292003
185	0.8048549084
186	0.802272859
187	0.7997546418
188	0.7975400526
189	0.7946832965
190	0.7922380898
191	0.7898042224
192	0.7879976531
193	0.785284895
194	0.782938931
195	0.7813210548
196	0.7797178971
197	0.7764877175
198	0.7747005186
199	0.7730220574
